-650 -501 0 1
-634 -501 0 1
-617 -501 0 1
-600 -501 0 1
-584 -501 0 1
-567 -501 0 1
-550 -501 0 1
-534 -501 0 1
-517 -501 0 1
-500 -501 0 1
-483 -501 0 1
-467 -501 0 1
-450 -501 0 1
-433 -501 0 1
-417 -501 0 1
-400 -501 0 1
-383 -501 0 1
-367 -501 0 1
-350 -501 0 1
-333 -501 0 1
-316 -501 0 1
-300 -501 0 1
-283 -501 0 1
-266 -501 0 1
-250 -501 0 1
-233 -501 0 1
-216 -501 0 1
-200 -501 0 1
-183 -501 0 1
-166 -501 0 1
-149 -501 0 1
-133 -501 0 1
-116 -501 0 1
-99 -501 0 1
-83 -501 0 1
-66 -501 0 1
-49 -501 0 1
-33 -501 0 1
-650 -568 0 1
-632 -568 0 1
-613 -568 0 1
-594 -568 0 1
-575 -568 0 1
-556 -568 0 1
-537 -568 0 1
-518 -568 0 1
-499 -568 0 1
-480 -568 0 1
-461 -568 0 1
-442 -568 0 1
-423 -568 0 1
-404 -568 0 1
-385 -568 0 1
-367 -568 0 1
-348 -568 0 1
-329 -568 0 1
-310 -568 0 1
-291 -568 0 1
-272 -568 0 1
-253 -568 0 1
-234 -568 0 1
-215 -568 0 1
-196 -568 0 1
-177 -568 0 1
-158 -568 0 1
-139 -568 0 1
-120 -568 0 1
-101 -568 0 1
-83 -568 0 1
-64 -568 1 0
-45 -568 1 0
...
